"NAME","GEOID","has_computer","mean_u_mbps","final_index"
"Census Tract 9502, Stevens County, Washington",53065950200,1308,11.3390777479893,5139.14931561555
"Census Tract 9503, Stevens County, Washington",53065950300,977,14.9731088435374,3845.66648102244
"Census Tract 9505, Stevens County, Washington",53065950500,1048,14.1555210084034,4123.07939243666
"Census Tract 9506, Stevens County, Washington",53065950600,890,11.662896713615,3501.08310189285
"Census Tract 9507, Stevens County, Washington",53065950700,881,11.4665714285714,3465.59427265909
"Census Tract 9508, Stevens County, Washington",53065950800,1234,8.98769857142857,4846.55651782715
"Census Tract 9509, Stevens County, Washington",53065950900,608,8.3584921875,2392.17327247594
"Census Tract 9511, Stevens County, Washington",53065951100,1423,8.32707428571429,5586.65815921481
"Census Tract 9513.01, Stevens County, Washington",53065951301,817,7.25500534759358,3210.18994017205
"Census Tract 9513.02, Stevens County, Washington",53065951302,539,9.28081363636364,2122.71273165552
"Census Tract 9514.01, Stevens County, Washington",53065951401,1156,7.41820028818444,4539.12914589451
"Census Tract 9514.02, Stevens County, Washington",53065951402,1524,11.3925583333333,5985.8525223288
"Census Tract 9601, Lincoln County, Washington",53043960100,733,4.24394029850746,2877.68845726964
"Census Tract 9602, Lincoln County, Washington",53043960200,1283,7.55351605995717,5037.07140169705
"Census Tract 9603, Lincoln County, Washington",53043960300,1064,19.377203539823,4191.43071382725
"Census Tract 9604, Lincoln County, Washington",53043960400,1256,7.75215942028986,4931.4551542993
"Census Tract 9400, Ferry County, Washington",53019940000,523,8.29621739130435,2058.93537374813
"Census Tract 9701, Ferry County, Washington",53019970100,1097,10.5729601449275,4311.27508725398
"Census Tract 9702, Ferry County, Washington",53019970200,1063,9.52116766467066,4176.87140104859
"Census Tract 9703, Garfield County, Washington",53023970300,897,68.9318857142857,3590.3429500921
"Census Tract 9701, Pend Oreille County, Washington",53051970100,872,14.8157640449438,3433.93285413026
"Census Tract 9702, Pend Oreille County, Washington",53051970200,1115,22.7075611285266,4394.92826110714
"Census Tract 9703, Pend Oreille County, Washington",53051970300,1219,45.5999693251534,4827.28488869703
"Census Tract 9704, Pend Oreille County, Washington",53051970400,1118,55.480787037037,4442.06614644335
"Census Tract 9705, Pend Oreille County, Washington",53051970500,1041,41.1359585062241,4124.76737353364
"Census Tract 1, Whitman County, Washington",53075000100,1160,93.2302871287129,4647.4424975552
"Census Tract 2.01, Whitman County, Washington",53075000201,1878,108.809954761905,7478.57312504486
