tract,county,desktop_laptop,only_desktop_laptop,with_smartphone,only_smartphone,with_tablet,only_tablet,with_other,only_other,moe_desktop_laptop,moe_only_desktop_laptop,moe_with_smartphone,moe_only_smartphone,moe_with_tablet,moe_only_tablet,moe_with_other,moe_only_other
9507,stevens,647,132,687,161,448,29,10,0,97,74,86,77,75,29,11,13
41,spokane,871,58,876,86,723,47,20,0,133,44,124,55,130,56,18,13
9508,stevens,1141,105,1047,50,706,16,45,0,171,56,164,42,156,19,25,13
42,spokane,1764,92,1730,41,1492,0,68,0,211,47,216,29,222,13,43,13
9509,stevens,512,117,455,53,328,11,11,0,60,37,70,37,48,9,8,13
43,spokane,1354,150,1234,22,1061,23,46,0,170,102,117,21,148,25,32,13
9511,stevens,1199,212,1071,134,819,54,36,0,190,71,172,52,171,48,25,13
44,spokane,1803,87,1849,44,1605,14,19,0,215,48,288,55,293,23,30,13
9513.01,stevens,680,5,793,125,453,3,11,0,113,7,127,80,108,5,13,13
45,spokane,1333,94,1372,55,1129,0,36,0,153,46,156,42,183,13,31,13
9513.02,stevens,482,26,470,33,381,3,22,0,84,20,97,22,96,4,26,13
46.01,spokane,1411,130,1466,174,1169,91,37,0,210,64,199,84,192,101,31,13
9514.01,stevens,1012,40,1103,105,729,0,53,0,181,45,200,95,171,13,54,13
46.02,spokane,1061,72,1074,56,877,10,6,0,216,43,214,39,212,16,10,13
9514.02,stevens,1320,137,1340,173,1023,16,37,0,159,72,146,116,156,25,46,13
47.01,spokane,890,29,1011,31,954,0,0,0,190,32,196,40,212,13,13,13
47.02,spokane,1451,72,1423,14,1184,14,57,0,179,44,201,23,218,22,67,13
48,spokane,1641,48,1894,304,1272,8,27,0,193,35,288,233,137,14,24,13
49,spokane,2148,142,2076,12,1592,12,0,0,220,123,201,19,212,19,18,18
50,spokane,1549,183,1514,94,1098,15,33,0,225,91,238,73,216,24,30,13
101.01,spokane,1091,41,1260,94,1081,0,62,0,187,40,241,80,252,13,49,13
101.02,spokane,941,88,826,21,682,0,0,0,203,53,195,35,172,13,13,13
9400,ferry,395,44,431,42,368,22,0,0,59,18,66,18,69,14,13,13
9703,garfield,776,71,774,77,549,3,15,0,84,34,87,47,85,4,12,13
9701,ferry,811,171,804,190,567,11,0,0,128,64,138,103,92,16,13,13
9702,ferry,876,158,785,124,561,20,56,0,160,64,128,61,125,22,46,13
