NAME,GEOID,has_computer,no_computer,with_internet,no_internet,total_population,work_from_home,65_and_older,median_income,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
"Census Tract 144, Spokane County, Washington",53063014400,1632.0,97.0,1560.0,123.0,4470.0,136.0,543.0,56613.0,8.0,61.125,222.272860465116,28.8882403100775,0.0118992248062015
"Census Tract 145, Spokane County, Washington",53063014500,774.0,94.0,687.0,132.0,2001.0,38.0,216.0,34722.0,10.0,58.7,224.79854964539,33.390634751773,0.0147801418439716
"Census Tract 9410, Stevens County, Washington",53065941000,731.0,127.0,533.0,295.0,2203.0,18.0,370.0,35000.0,8.0,50.5,42.9921271186441,16.1685508474576,0.0425338983050847
"Census Tract 9501.01, Stevens County, Washington",53065950101,1591.0,285.0,1390.0,403.0,4596.0,43.0,1180.0,42037.0,7.0,63.4285714285714,106.840028688525,10.6452213114754,0.0447172131147541
"Census Tract 9501.02, Stevens County, Washington",53065950102,1190.0,120.0,1080.0,219.0,2973.0,44.0,866.0,59669.0,9.0,58.7777777777778,100.425046610169,10.1085211864407,0.049
"Census Tract 9502, Stevens County, Washington",53065950200,1308.0,180.0,1115.0,293.0,4353.0,85.0,683.0,65427.0,12.0,55.9166666666667,109.609589812332,11.3390777479893,0.0490241286863271
"Census Tract 9503, Stevens County, Washington",53065950300,977.0,64.0,938.0,96.0,2740.0,112.0,610.0,39185.0,12.0,55.9166666666667,202.255346938776,14.9731088435374,0.0285238095238095
"Census Tract 9505, Stevens County, Washington",53065950500,1048.0,123.0,954.0,177.0,2510.0,8.0,832.0,43717.0,11.0,56.4545454545455,201.386823529412,14.1555210084034,0.0298655462184874
"Census Tract 9506, Stevens County, Washington",53065950600,890.0,113.0,842.0,161.0,2440.0,43.0,587.0,63750.0,12.0,55.9166666666667,109.407234741784,11.662896713615,0.060112676056338
"Census Tract 9507, Stevens County, Washington",53065950700,881.0,141.0,826.0,159.0,2424.0,87.0,588.0,43370.0,9.0,59.6666666666667,155.322442857143,11.4665714285714,0.0394928571428571
"Census Tract 9508, Stevens County, Washington",53065950800,1234.0,145.0,1097.0,236.0,3316.0,129.0,968.0,66583.0,11.0,57.8181818181818,76.8503385714286,8.98769857142857,0.0517957142857143
