tract,county,GEOID,has_computer,with_internet,work_from_home,broadband,median_income,median_age,total_population,number_providers,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms
111.04," Spokane County",53063011104,1164.0,1119.0,37.0,1079.0,33828.0,27.6,3255.0,8.0,61.125,239.40338961039,34.3257272727273,0.0163376623376623
112.02," Spokane County",53063011202,1527.0,1450.0,151.0,1450.0,60685.0,43.1,4039.0,8.0,61.125,93.4159551020408,10.6797632653061,0.0400061224489796
112.03," Spokane County",53063011203,2321.0,2125.0,102.0,2111.0,38458.0,31.7,5610.0,8.0,61.125,213.854445652174,37.447597826087,0.0160108695652174
112.04," Spokane County",53063011204,880.0,865.0,56.0,853.0,51417.0,38.5,2049.0,7.0,62.7142857142857,249.67563963964,42.1568873873874,0.0175720720720721
113.01," Spokane County",53063011301,1465.0,1465.0,48.0,1465.0,92749.0,46.8,3774.0,8.0,61.125,297.812130555556,20.2834222222222,0.015225
113.02," Spokane County",53063011302,1996.0,1899.0,80.0,1898.0,81210.0,32.4,5209.0,8.0,61.125,293.640988188976,28.5805374015748,0.0151023622047244
114.0," Spokane County",53063011400,1987.0,2006.0,260.0,2006.0,57411.0,44.6,5288.0,9.0,61.0,276.346718232044,20.6664696132597,0.0149944751381215
115.0," Spokane County",53063011500,603.0,585.0,166.0,585.0,77583.0,41.6,1641.0,7.0,54.1428571428571,229.140131687243,28.7768600823045,0.0130946502057613
116.0," Spokane County",53063011600,713.0,683.0,53.0,683.0,53875.0,39.7,1742.0,7.0,54.1428571428571,316.728035460993,24.7503687943262,0.014177304964539
117.01," Spokane County",53063011701,1004.0,943.0,44.0,943.0,55735.0,45.1,2249.0,7.0,54.1428571428571,332.027016949153,25.8374124293785,0.0127344632768362
117.02," Spokane County",53063011702,3083.0,2725.0,118.0,2725.0,37020.0,28.9,7531.0,7.0,54.1428571428571,273.870095092025,26.0411012269939,0.015920245398773
118.0," Spokane County",53063011800,2470.0,1983.0,182.0,1983.0,39885.0,37.1,5677.0,6.0,54.8333333333333,252.842942028986,19.287231884058,0.012731884057971
119.0," Spokane County",53063011900,1873.0,1801.0,454.0,1793.0,53038.0,33.4,5189.0,7.0,54.1428571428571,263.828249452954,23.8445623632385,0.0130437636761488
120.0," Spokane County",53063012000,1762.0,1697.0,40.0,1690.0,50679.0,39.5,3974.0,8.0,53.625,263.083823095823,16.7320417690418,0.0134643734643735
121.0," Spokane County",53063012100,1008.0,956.0,142.0,956.0,49646.0,38.0,2551.0,7.0,54.1428571428571,258.654218487395,20.1078907563025,0.0113949579831933
122.0," Spokane County",53063012200,846.0,772.0,53.0,767.0,53889.0,38.2,2303.0,8.0,61.125,189.040409340659,24.6042445054945,0.0182554945054945
123.0," Spokane County",53063012300,2246.0,2147.0,78.0,2041.0,51847.0,33.5,6150.0,8.0,54.625,238.473749430524,29.61730523918,0.0155170842824601
124.01," Spokane County",53063012401,1825.0,1774.0,207.0,1774.0,92024.0,47.7,5856.0,7.0,54.1428571428571,233.596218274112,31.2918121827411,0.0192791878172589
124.02," Spokane County",53063012402,2394.0,2302.0,252.0,2302.0,107585.0,42.9,6501.0,7.0,55.5714285714286,251.641652519894,19.9231034482759,0.0216419098143236
125.0," Spokane County",53063012500,1221.0,1229.0,31.0,1229.0,55873.0,37.3,3729.0,7.0,54.1428571428571,254.138337962963,16.7505324074074,0.0131527777777778
126.0," Spokane County",53063012600,1644.0,1471.0,199.0,1471.0,59395.0,32.7,4153.0,7.0,54.1428571428571,302.267728301887,27.1485509433962,0.013422641509434
127.01," Spokane County",53063012701,1561.0,1491.0,44.0,1484.0,48841.0,43.5,3735.0,6.0,54.8333333333333,261.545273148148,25.171712962963,0.0142037037037037
127.02," Spokane County",53063012702,857.0,826.0,150.0,826.0,72740.0,32.4,2912.0,6.0,54.8333333333333,254.85187283237,26.8958265895954,0.0135375722543353
128.01," Spokane County",53063012801,1591.0,1525.0,54.0,1525.0,55551.0,35.7,4322.0,6.0,54.8333333333333,275.763164874552,28.3459139784946,0.0145555555555556
128.02," Spokane County",53063012802,1315.0,1293.0,142.0,1293.0,66430.0,41.8,3675.0,6.0,54.8333333333333,317.442212669683,26.3362760180995,0.0128235294117647
129.01," Spokane County",53063012901,1061.0,955.0,169.0,955.0,57846.0,40.7,3095.0,6.0,54.8333333333333,272.58757615894,19.3254072847682,0.0142019867549669
129.02," Spokane County",53063012902,2500.0,2257.0,176.0,2243.0,69663.0,37.0,7631.0,6.0,54.8333333333333,265.873103225806,16.7085784946237,0.0150279569892473
130.01," Spokane County",53063013001,400.0,400.0,122.0,400.0,116818.0,45.7,1106.0,6.0,54.8333333333333,197.123827586207,14.7431724137931,0.0144137931034483
130.02," Spokane County",53063013002,1230.0,1137.0,18.0,1137.0,50394.0,33.1,2809.0,6.0,54.8333333333333,280.073662162162,32.1770135135135,0.0148873873873874
