"GEOID","tract","not_citizen","naturalized_citizen","native_citizen","foreign_born","work_from_home","desktop_or_laptop","desktop_or_laptop_only","smartphone","smartphone_only","tablet_or_portable","has_computer","no_computer","internet_subscription","dial_up","broadband","satellite","other_internet_service","access_with_no_subscription","no_internet_access","sixty_five_and_older","median_income","mean_income","mean_d_mbps","mean_u_mbps","mean_lat_ms","number_providers","lowest_cost"
53063013003,130.03,23,357,5942,380,311,2066,86,2040,0,1596,2178,150,2125,0,1850,42,0,81,122,1050,86474,113202,236.760987586207,43.0145724137931,15.64,7,43
53063013101,131.01,120,252,6480,372,348,2843,89,3212,393,2090,3365,58,2927,0,2563,138,110,64,432,1049,56166,81197,270.776810249307,21.8779501385042,12.2548476454294,6,43
53063013102,131.02,143,96,4896,239,235,1850,120,1836,49,1503,1981,84,1961,19,1731,273,54,20,84,936,83320,95452,244.876539145907,31.3096174377224,15.1903914590747,4,43
53063013201,132.01,154,49,7188,203,172,2395,156,2375,126,1883,2637,59,2500,18,2185,113,15,34,162,1442,64830,84839,285.096071428571,33.778875,24.1547619047619,7,43
53063013203,132.03,9,74,2590,83,134,982,93,924,57,588,1049,12,1026,0,955,31,0,23,12,563,84509,125937,258.515573696145,46.1320340136054,14.4353741496599,7,43
53063013204,132.04,18,68,4727,86,518,1370,31,1428,32,1386,1550,52,1499,0,1374,105,0,51,52,633,101742,130089,216.244224576271,22.8374300847458,21.0847457627119,8.59116022099447,37.7955801104972
53063013205,132.05,50,75,3486,125,239,1060,65,1059,79,990,1211,0,1141,0,953,138,14,0,70,318,131750,168506,242.700719827586,28.3514590517241,18.176724137931,4,43
53063013300,133,10,55,3289,65,225,1175,113,1060,7,825,1182,26,1102,12,574,435,54,53,53,486,111389,127783,91.7363712686567,9.42366231343284,62.615671641791,12,20
53063013401,134.01,9,195,5296,204,396,1957,68,1829,29,1572,2003,16,1977,0,1870,102,10,14,28,1009,130114,145420,249.50669346049,19.8425027247956,17.1675749318801,7,43
53063013501,135.01,38,78,1645,116,83,548,17,599,47,483,633,18,571,0,327,52,42,0,80,364,90020,118850,71.8207885196375,8.34738972809668,54.9909365558912,9,43
53063013502,135.02,0,112,2181,112,204,857,51,759,0,729,875,18,857,0,645,134,30,0,36,454,106736,162714,60.682339055794,11.4167296137339,38.4077253218884,9,43
53063013503,135.03,163,157,5758,320,189,2087,26,2153,59,1714,2199,12,2181,0,1678,324,74,18,12,904,125453,139927,190.487001782531,27.5013654188948,26.825311942959,9,43
53063013600,136,93,128,4937,221,177,1676,53,1769,95,1480,1897,65,1826,0,1468,83,134,17,119,639,78534,86631,180.596692857143,20.3919,22.9857142857143,10,43
53063013700,137,151,69,2908,220,105,992,69,1192,208,822,1320,57,1219,44,760,194,42,24,134,418,59778,90406,161.591202839757,22.5866470588235,28.4381338742394,11,30
53063013800,138,101,110,3253,211,89,804,5,808,4,625,813,13,740,0,728,22,0,82,4,0,60133,63756,270.598943396226,20.0872735849057,15.3962264150943,10,43
53063013900,139,138,313,5167,451,69,1779,78,1959,248,1405,2086,71,2075,12,1640,299,0,0,82,748,63594,74577,159.135356495468,10.3148851963746,64.0392749244713,10,30
53063014001,140.01,107,57,5162,164,108,1500,92,1423,82,911,1658,75,1491,0,1191,69,58,67,175,432,30268,53097,203.448736842105,82.306271468144,28.6925207756233,8,43
53063014002,140.02,476,199,5621,675,322,2331,30,2381,32,1946,2469,125,2372,0,2135,101,44,62,160,569,53773,63178,179.035244027304,68.5311365187713,19.3105802047782,9,30
53063014100,141,104,418,5679,522,415,2060,71,2015,98,1752,2182,195,2105,0,1585,198,80,57,215,1030,78068,92375,140.607463796478,22.5251213307241,59.5812133072407,11,30
53063014200,142,25,61,3461,86,298,1252,54,1251,79,863,1426,78,1251,14,631,420,38,58,195,597,71012,86854,63.9087443181818,11.25496875,65.1164772727273,12,20
53063014300,143,55,19,2865,74,92,923,76,932,59,684,1037,97,972,23,552,166,74,16,146,427,58813,78699,44.8196851851852,9.48297777777778,47.362962962963,13,20
