"NAME","GEOID","has_computer","with_internet","sixtyfive_and_older","median_income","number_providers","mean_lowest_cost","mean_d_mbps","mean_u_mbps","mean_lat_ms"
"Census Tract 130.01, Spokane County, Washington","53063013001","400","400","187","116818","6","54.8333333333333","197.123827586207","14.7431724137931","14.4137931034483"
"Census Tract 130.02, Spokane County, Washington","53063013002","1230","1137","410","50394","6","54.8333333333333","280.073662162162","32.1770135135135","14.8873873873874"
"Census Tract 130.03, Spokane County, Washington","53063013003","2178","2125","1050","86474","7","55.5714285714286","236.760987586207","43.0145724137931","15.64"
"Census Tract 131.01, Spokane County, Washington","53063013101","3365","2927","1049","56166","6","64.8333333333333","270.776810249307","21.8779501385042","12.2548476454294"
"Census Tract 131.02, Spokane County, Washington","53063013102","1981","1961","936","83320","4","57","244.876539145907","31.3096174377224","15.1903914590747"
"Census Tract 132.01, Spokane County, Washington","53063013201","2637","2500","1442","64830","7","62.7142857142857","285.096071428571","33.778875","24.1547619047619"
"Census Tract 132.03, Spokane County, Washington","53063013203","1049","1026","563","84509","7","62.7142857142857","258.515573696145","46.1320340136054","14.4353741496599"
"Census Tract 132.04, Spokane County, Washington","53063013204","1550","1499","633","101742","8.59116022099447","58.6349088622219","216.244224576271","22.8374300847458","21.0847457627119"
"Census Tract 132.05, Spokane County, Washington","53063013205","1211","1141","318","131750","4","57","242.700719827586","28.3514590517241","18.176724137931"
"Census Tract 133, Spokane County, Washington","53063013300","1182","1102","486","111389","12","54.9166666666667","91.7363712686567","9.42366231343284","62.615671641791"
"Census Tract 134.01, Spokane County, Washington","53063013401","2003","1977","1009","130114","7","54.1428571428571","249.50669346049","19.8425027247956","17.1675749318801"
"Census Tract 135.01, Spokane County, Washington","53063013501","633","571","364","90020","9","61","71.8207885196375","8.34738972809668","54.9909365558912"
"Census Tract 135.02, Spokane County, Washington","53063013502","875","857","454","106736","9","61","60.682339055794","11.4167296137339","38.4077253218884"
"Census Tract 135.03, Spokane County, Washington","53063013503","2199","2181","904","125453","9","61","190.487001782531","27.5013654188948","26.825311942959"
"Census Tract 136, Spokane County, Washington","53063013600","1897","1826","639","78534","10","61.9","180.596692857143","20.3919","22.9857142857143"
"Census Tract 137, Spokane County, Washington","53063013700","1320","1219","418","59778","11","59","161.591202839757","22.5866470588235","28.4381338742394"
"Census Tract 138, Spokane County, Washington","53063013800","813","740","0","60133","10","60.9","270.598943396226","20.0872735849057","15.3962264150943"
"Census Tract 139, Spokane County, Washington","53063013900","2086","2075","748","63594","10","58.9","159.135356495468","10.3148851963746","64.0392749244713"
"Census Tract 140.01, Spokane County, Washington","53063014001","1658","1491","432","30268","8","63.5","203.448736842105","82.306271468144","28.6925207756233"
"Census Tract 140.02, Spokane County, Washington","53063014002","2469","2372","569","53773","9","59.7777777777778","179.035244027304","68.5311365187713","19.3105802047782"
"Census Tract 141, Spokane County, Washington","53063014100","2182","2105","1030","78068","11","57.7272727272727","140.607463796478","22.5251213307241","59.5812133072407"
"Census Tract 142, Spokane County, Washington","53063014200","1426","1251","597","71012","12","54.8333333333333","63.9087443181818","11.25496875","65.1164772727273"
"Census Tract 143, Spokane County, Washington","53063014300","1037","972","427","58813","13","53.7692307692308","44.8196851851852","9.48297777777778","47.362962962963"
"Census Tract 144, Spokane County, Washington","53063014400","1632","1560","543","56613","8","61.125","222.272860465116","28.8882403100775","11.8992248062015"
"Census Tract 145, Spokane County, Washington","53063014500","774","687","216","34722","10","58.7","224.79854964539","33.390634751773","14.7801418439716"
"Census Tract 9410, Stevens County, Washington","53065941000","731","533","370","35000","8","50.5","42.9921271186441","16.1685508474576","42.5338983050847"
"Census Tract 9501.01, Stevens County, Washington","53065950101","1591","1390","1180","42037","7","63.4285714285714","106.840028688525","10.6452213114754","44.7172131147541"
"Census Tract 9501.02, Stevens County, Washington","53065950102","1190","1080","866","59669","9","58.7777777777778","100.425046610169","10.1085211864407","49"
"Census Tract 9502, Stevens County, Washington","53065950200","1308","1115","683","65427","12","55.9166666666667","109.609589812332","11.3390777479893","49.0241286863271"
"Census Tract 9503, Stevens County, Washington","53065950300","977","938","610","39185","12","55.9166666666667","202.255346938776","14.9731088435374","28.5238095238095"
"Census Tract 9505, Stevens County, Washington","53065950500","1048","954","832","43717","11","56.4545454545455","201.386823529412","14.1555210084034","29.8655462184874"
"Census Tract 9506, Stevens County, Washington","53065950600","890","842","587","63750","12","55.9166666666667","109.407234741784","11.662896713615","60.112676056338"
"Census Tract 9507, Stevens County, Washington","53065950700","881","826","588","43370","9","59.6666666666667","155.322442857143","11.4665714285714","39.4928571428571"
"Census Tract 9508, Stevens County, Washington","53065950800","1234","1097","968","66583","11","57.8181818181818","76.8503385714286","8.98769857142857","51.7957142857143"
"Census Tract 9509, Stevens County, Washington","53065950900","608","513","507","44076","9","59.6666666666667","79.7035625","8.3584921875","98.6015625"
"Census Tract 9511, Stevens County, Washington","53065951100","1423","1144","931","51302","9","59.6666666666667","105.122777142857","8.32707428571429","68.9714285714286"
"Census Tract 9513.01, Stevens County, Washington","53065951301","817","778","468","63188","8","61","86.2236390374332","7.25500534759358","69.3422459893048"
"Census Tract 9513.02, Stevens County, Washington","53065951302","539","482","346","63068","9","56.3333333333333","119.671259090909","9.28081363636364","52.0181818181818"
"Census Tract 9514.01, Stevens County, Washington","53065951401","1156","1015","834","50474","6","64.6666666666667","43.3411340057637","7.41820028818444","49.3414985590778"
"Census Tract 9514.02, Stevens County, Washington","53065951402","1524","1430","785","96164","8","61","151.963085","11.3925583333333","40.7216666666667"
"Census Tract 9601, Lincoln County, Washington","53043960100","733","700","393","55491","8","50.375","44.9228656716418","4.24394029850746","47.3582089552239"
"Census Tract 9602, Lincoln County, Washington","53043960200","1283","1222","784","62000","13","56.4615384615385","71.6639079229122","7.55351605995717","83.3019271948608"
"Census Tract 9603, Lincoln County, Washington","53043960300","1064","895","728","67500","11","54","62.1507123893805","19.377203539823","102.637168141593"
"Census Tract 9604, Lincoln County, Washington","53043960400","1256","1146","851","53314","13","56.4615384615385","41.0151884057971","7.75215942028986","73.1304347826087"
"Census Tract 9400, Ferry County, Washington","53019940000","523","401","396","39375","12","52.25","34.6059347826087","8.29621739130435","84.5869565217391"
"Census Tract 9701, Ferry County, Washington","53019970100","1097","798","802","36959","12","51.1666666666667","77.5839637681159","10.5729601449275","50.4311594202899"
"Census Tract 9702, Ferry County, Washington","53019970200","1063","960","897","44283","12","51.1666666666667","77.3357904191617","9.52116766467066","36.874251497006"
"Census Tract 9703, Garfield County, Washington","53023970300","897","801","596","56923","12","58","107.083171428571","68.9318857142857","46.7571428571429"
"Census Tract 9701, Pend Oreille County, Washington","53051970100","872","733","660","56125","7","63","59.1927902621723","14.8157640449438","46.7940074906367"
"Census Tract 9702, Pend Oreille County, Washington","53051970200","1115","867","700","51010","13","56.0769230769231","59.9432978056426","22.7075611285266","51.705329153605"
"Census Tract 9703, Pend Oreille County, Washington","53051970300","1219","939","725","48844","7","61.1428571428571","75.0938036809816","45.5999693251534","54.9325153374233"
"Census Tract 9704, Pend Oreille County, Washington","53051970400","1118","955","748","54375","8","59.75","64.9964388888889","55.480787037037","40.6685185185185"
"Census Tract 9705, Pend Oreille County, Washington","53051970500","1041","890","741","68607","8","59.75","68.4107468879668","41.1359585062241","27.49377593361"
"Census Tract 1, Whitman County, Washington","53075000100","1160","1050","86","12473","8","57","209.425089108911","93.2302871287129","19.0247524752475"
"Census Tract 2.01, Whitman County, Washington","53075000201","1878","1868","448","57083","9","54.2222222222222","233.224733333333","108.809954761905","17.9428571428571"
"Census Tract 2.02, Whitman County, Washington","53075000202","945","881","112","46484","7","57.8571428571429","215.907161764706","88.8487058823529","18.7352941176471"
