"tract","county","dataset","estimate_estimate_total","estimate_estimate_total_has_a_computer","estimate_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","estimate_estimate_total_has_a_computer_with_a_broadband_internet_subscription","estimate_estimate_total_has_a_computer_without_an_internet_subscription","estimate_estimate_total_no_computer","moe_estimate_total","moe_estimate_total_has_a_computer","moe_estimate_total_has_a_computer_with_dial-up_internet_subscription_alone","moe_estimate_total_has_a_computer_with_a_broadband_internet_subscription","moe_estimate_total_has_a_computer_without_an_internet_subscription","moe_estimate_total_no_computer"
111.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1685,1422,38,1331,53,263,284,291,43,281,63,111
135.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2211,2199,0,2181,18,12,301,302,18,306,30,21
111.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1294,1164,40,1079,45,130,230,231,37,234,37,88
136,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1962,1897,0,1826,71,65,218,221,18,219,51,54
112.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1602,1527,0,1450,77,75,214,215,13,234,58,39
137,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1377,1320,44,1175,101,57,157,151,33,154,59,38
127.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",899,857,0,826,31,42,138,139,13,141,21,33
112.03,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2658,2321,14,2111,196,337,357,299,23,322,111,230
138,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",826,813,0,740,73,13,154,153,13,117,105,20
128.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1639,1591,0,1525,66,48,133,134,13,143,51,27
112.04,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",981,880,12,853,15,101,145,157,20,155,23,75
139,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2157,2086,12,2063,11,71,215,225,20,226,17,52
113.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1592,1465,0,1465,0,127,277,265,13,265,13,78
140.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1733,1658,0,1491,167,75,234,234,18,234,80,56
113.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2015,1996,1,1898,97,19,332,332,4,307,127,28
140.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2594,2469,0,2361,108,125,281,281,18,295,69,91
114,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2115,1987,0,1987,0,128,305,310,18,310,18,78
141,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2377,2182,0,2090,92,195,246,271,18,275,73,100
115,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",629,603,0,580,23,26,133,134,13,134,19,17
142,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1504,1426,14,1237,175,78,280,278,17,272,98,46
116,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",764,713,0,683,30,51,78,75,13,80,17,20
143,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1134,1037,23,946,68,97,115,105,16,104,29,35
117.01,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1120,1004,0,943,61,116,137,141,13,135,50,61
144,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1729,1632,0,1560,72,97,187,194,13,194,59,48
117.02,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",3229,3083,0,2725,358,146,331,348,18,372,149,94
145,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",868,774,4,683,87,94,138,140,7,139,51,68
118,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2847,2470,0,1967,503,377,387,411,18,313,330,134
9410,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",858,731,4,520,207,127,100,90,8,78,50,43
119,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",2062,1873,8,1770,95,189,243,265,12,278,63,90
9501.01,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1876,1591,7,1368,216,285,148,161,6,166,59,80
120,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1842,1762,7,1677,78,80,311,319,10,318,60,59
9501.02,"stevens","presence_of_a_computer_and_type_of_internet_subscription_in_household",1310,1190,0,1080,110,120,202,200,13,200,56,62
121,"spokane","presence_of_a_computer_and_type_of_internet_subscription_in_household",1119,1008,0,939,69,111,143,139,13,140,44,58
