state,county,tract,tractname,block,tractcode,blockcode
53,001,950200, 9502,1003,53001950200,530019502001003
53,001,950200, 9502,1004,53001950200,530019502001004
53,001,950200, 9502,1005,53001950200,530019502001005
53,001,950200, 9502,1006,53001950200,530019502001006
53,001,950200, 9502,1007,53001950200,530019502001007
53,001,950200, 9502,1008,53001950200,530019502001008
53,001,950200, 9502,1009,53001950200,530019502001009
53,001,950200, 9502,1010,53001950200,530019502001010
53,001,950200, 9502,1011,53001950200,530019502001011
53,001,950200, 9502,1012,53001950200,530019502001012
53,001,950200, 9502,1013,53001950200,530019502001013
53,001,950200, 9502,1014,53001950200,530019502001014
53,001,950200, 9502,1015,53001950200,530019502001015
53,001,950200, 9502,1016,53001950200,530019502001016
53,001,950200, 9502,1017,53001950200,530019502001017
53,001,950200, 9502,1018,53001950200,530019502001018
53,001,950200, 9502,1019,53001950200,530019502001019
53,001,950200, 9502,1020,53001950200,530019502001020
53,001,950200, 9502,1021,53001950200,530019502001021
53,001,950200, 9502,1022,53001950200,530019502001022
53,001,950200, 9502,1023,53001950200,530019502001023
53,001,950200, 9502,1024,53001950200,530019502001024
53,001,950200, 9502,1025,53001950200,530019502001025
53,001,950200, 9502,1026,53001950200,530019502001026
53,001,950200, 9502,1027,53001950200,530019502001027
53,001,950200, 9502,1028,53001950200,530019502001028
53,001,950200, 9502,1029,53001950200,530019502001029
53,001,950200, 9502,1030,53001950200,530019502001030
53,001,950200, 9502,1031,53001950200,530019502001031
53,001,950200, 9502,1032,53001950200,530019502001032
53,001,950200, 9502,1033,53001950200,530019502001033
53,001,950200, 9502,1034,53001950200,530019502001034
53,001,950200, 9502,1035,53001950200,530019502001035
53,001,950200, 9502,1036,53001950200,530019502001036
53,001,950200, 9502,1037,53001950200,530019502001037
53,001,950200, 9502,1038,53001950200,530019502001038
53,001,950200, 9502,1039,53001950200,530019502001039
53,001,950200, 9502,1040,53001950200,530019502001040
53,001,950200, 9502,1041,53001950200,530019502001041
53,001,950200, 9502,1042,53001950200,530019502001042
53,001,950200, 9502,1043,53001950200,530019502001043
53,001,950200, 9502,1044,53001950200,530019502001044
53,001,950200, 9502,1045,53001950200,530019502001045
53,001,950200, 9502,1046,53001950200,530019502001046
53,001,950200, 9502,1047,53001950200,530019502001047
53,001,950200, 9502,1048,53001950200,530019502001048
53,001,950200, 9502,1049,53001950200,530019502001049
53,001,950200, 9502,1050,53001950200,530019502001050
53,001,950200, 9502,1051,53001950200,530019502001051
53,001,950200, 9502,1052,53001950200,530019502001052
53,001,950200, 9502,1053,53001950200,530019502001053
53,001,950200, 9502,1054,53001950200,530019502001054
53,001,950200, 9502,1055,53001950200,530019502001055
53,001,950200, 9502,1056,53001950200,530019502001056
53,001,950200, 9502,1057,53001950200,530019502001057
53,001,950200, 9502,1058,53001950200,530019502001058
53,001,950200, 9502,1059,53001950200,530019502001059
53,001,950200, 9502,1060,53001950200,530019502001060
53,001,950200, 9502,1061,53001950200,530019502001061
53,001,950200, 9502,1062,53001950200,530019502001062
53,001,950200, 9502,1063,53001950200,530019502001063
53,001,950200, 9502,1064,53001950200,530019502001064
53,001,950200, 9502,1065,53001950200,530019502001065
53,001,950200, 9502,1066,53001950200,530019502001066
53,001,950200, 9502,1067,53001950200,530019502001067
53,001,950200, 9502,1068,53001950200,530019502001068
53,001,950200, 9502,1069,53001950200,530019502001069
53,001,950200, 9502,1070,53001950200,530019502001070
53,001,950200, 9502,1071,53001950200,530019502001071
53,001,950200, 9502,1072,53001950200,530019502001072
53,001,950200, 9502,1073,53001950200,530019502001073
53,001,950200, 9502,1074,53001950200,530019502001074
53,001,950200, 9502,1075,53001950200,530019502001075
53,001,950200, 9502,1076,53001950200,530019502001076
53,001,950200, 9502,1077,53001950200,530019502001077
53,001,950200, 9502,1078,53001950200,530019502001078
53,001,950200, 9502,1079,53001950200,530019502001079
53,001,950200, 9502,1080,53001950200,530019502001080
53,001,950200, 9502,1081,53001950200,530019502001081
53,001,950200, 9502,1082,53001950200,530019502001082
53,001,950200, 9502,1083,53001950200,530019502001083
53,001,950200, 9502,1084,53001950200,530019502001084
53,001,950200, 9502,1085,53001950200,530019502001085
53,001,950200, 9502,1086,53001950200,530019502001086
53,001,950200, 9502,1087,53001950200,530019502001087
53,001,950200, 9502,1088,53001950200,530019502001088
53,001,950200, 9502,1089,53001950200,530019502001089
53,001,950200, 9502,1090,53001950200,530019502001090
