"NAME","GEOID","has_computer","with_internet","total_population","65_and_older","number_providers","mean_lowest_cost","mean_d_mbps","mean_u_mbps","mean_lat_ms","index"
"Census Tract 30, Spokane County, Washington",53063003000,-0.975620264528142,-0.992906287591567,-0.843507618963773,-0.955500719909066,0.205019794424694,0.622993808509653,1.31498321728266,-0.338407121017354,-0.727905517691393,-0.721317775401083
"Census Tract 31, Spokane County, Washington",53063003100,1.23510645297142,1.41947897783967,0.898438310198726,-0.303487575929847,-0.296447540587057,0.723941324734776,1.16909627261609,1.34477061371497,-0.747920021093671,5.79377717842633
"Census Tract 32, Spokane County, Washington",53063003200,0.050463117130766,0.0968658536752321,-0.624251654034451,0.320039556904649,0.205019794424694,0.0415361150529106,0.547056629049249,-0.00278376205755352,-0.732153160246409,0.911112500683071
"Census Tract 35, Spokane County, Washington",53063003500,0.134299414744105,0.0644207986812993,-0.762354437139283,-0.45224785635229,0.706487129436445,-0.795116899420965,0.0475666158803383,0.171557477321839,-0.758121669214991,1.15325189999727
"Census Tract 36.01, Spokane County, Washington",53063003601,-0.456199724967238,-0.391718503880461,-1.04994992360502,-1.41127689822464,-0.296447540587057,0.723941324734776,0.798053807361991,0.0317681412568306,-0.767722576625483,0.388172617390409
"Census Tract 36.02, Spokane County, Washington",53063003602,0.263698917582084,0.367877489506905,-1.00011902248472,-0.999812292800857,-0.296447540587057,0.723941324734776,0.432330875498882,-0.345885437422915,-0.704456836158855,0.97420225162515
"Census Tract 38, Spokane County, Washington",53063003800,-0.973797736319156,-0.939467373483913,-1.42154607195926,-0.971326281656134,-0.296447540587057,0.723941324734776,0.387126321305476,-0.752795314908625,-0.733873773985147,-2.09084392838518
"Census Tract 39, Spokane County, Washington",53063003900,-0.79701250004755,-0.872668730849346,-1.13110310542951,0.196600175277516,-0.296447540587057,0.723941324734776,1.12630902552345,-0.309469639787963,-0.721121762972321,-0.989113972716487
"Census Tract 40.01, Spokane County, Washington",53063004001,-0.139079816603739,-0.0176461051268835,-0.674794425170756,-1.03462852864441,-0.296447540587057,0.723941324734776,0.456957325971385,1.34706775350536,-0.712734189728416,2.10459613363269
"Census Tract 40.02, Spokane County, Washington",53063004002,-0.239318868097949,-0.0920788783482585,-1.02574634306087,-1.41127689822464,-0.296447540587057,0.723941324734776,0.396837669659927,1.11276148202907,-0.704098270506402,1.61595749068955
