Label,Tract,County,Total households,Has one or more types of computing devices:,Desktop or laptop,Desktop or laptop with no other type of computing device,Smartphone,Smartphone with no other type of computing device,Tablet or other portable wireless computer,Tablet or other portable wireless computer with no other type of computing device,Other computer,Other computer with no other type of computing device,No computer,With an Internet subscription:,Dial-up with no other type of Internet subscription,Broadband of any type,Cellular data plan,Cellular data plan with no other type of Internet subscription,"Broadband such as cable, fiber optic or DSL",Satellite Internet service,Without an Internet subscription,"Less than $20,000:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$20,000 to $74,999:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription,"$75,000 or more:",With dial-up Internet subscription alone,With a broadband Internet subscription,Without an Internet subscription
Estimate,38,Spokane,894,854,754,26,816,49,590,6,15,0,40,806,0,806,775,109,685,16,88,169,0,121,48,418,0,401,17,307,0,284,23
Estimate,39,Spokane,"1,023",951,857,128,741,55,652,24,49,0,72,841,12,829,675,84,677,133,182,192,5,143,44,498,7,371,120,333,0,315,18
Estimate,40.01,Spokane,"1,326","1,312","1,071",0,"1,277",140,967,16,38,0,14,"1,289",0,"1,289","1,203",211,"1,000",56,37,181,0,167,14,895,0,872,23,250,0,250,0
Estimate,40.02,Spokane,"1,276","1,257","1,121",38,"1,196",90,764,13,5,0,19,"1,250",0,"1,250","1,170",99,"1,119",0,26,342,0,335,7,738,0,728,10,196,0,187,9
Estimate,41,Spokane,"1,072","1,030",871,58,876,86,723,47,20,0,42,965,0,965,863,122,824,19,107,142,0,108,34,435,0,372,63,495,0,485,10
Estimate,42,Spokane,"1,936","1,865","1,764",92,"1,730",41,"1,492",0,68,0,71,"1,820",0,"1,820","1,734",185,"1,582",52,116,131,0,113,18,585,0,505,80,"1,220",0,"1,202",18
Estimate,43,Spokane,"1,516","1,423","1,354",150,"1,234",22,"1,061",23,46,0,93,"1,385",10,"1,375","1,236",56,"1,287",38,131,145,0,126,19,520,0,451,69,851,10,798,43
Estimate,44,Spokane,"2,129","2,038","1,803",87,"1,849",44,"1,605",14,19,0,91,"1,846",0,"1,846","1,739",240,"1,606",27,283,266,0,89,177,908,0,817,91,955,0,940,15
Estimate,45,Spokane,"1,502","1,486","1,333",94,"1,372",55,"1,129",0,36,0,16,"1,423",0,"1,423","1,332",76,"1,322",29,79,144,0,118,26,473,0,433,40,885,0,872,13
Estimate,46.01,Spokane,"2,124","1,744","1,411",130,"1,466",174,"1,169",91,37,0,380,"1,629",7,"1,622","1,239",130,"1,448",67,495,532,7,333,192,969,0,721,248,623,0,568,55
Estimate,46.02,Spokane,"1,230","1,156","1,061",72,"1,074",56,877,10,6,0,74,"1,091",11,"1,080",980,84,907,72,139,109,0,109,0,374,11,266,97,747,0,705,42
Estimate,47.01,Spokane,"1,136","1,077",890,29,"1,011",31,954,0,0,0,59,"1,036",0,"1,036",984,91,829,87,100,100,0,100,0,452,0,352,100,584,0,584,0
Estimate,47.02,Spokane,"1,697","1,566","1,451",72,"1,423",14,"1,184",14,57,0,131,"1,550",0,"1,550","1,328",185,"1,282",51,147,305,0,291,14,693,0,604,89,699,0,655,44
Estimate,48,Spokane,"2,057","1,981","1,641",48,"1,894",304,"1,272",8,27,0,76,"1,695",12,"1,683","1,514",177,"1,428",98,362,229,0,130,99,"1,080",12,814,254,748,0,739,9
Estimate,49,Spokane,"2,315","2,255","2,148",142,"2,076",12,"1,592",12,0,0,60,"2,242",13,"2,229","1,988",160,"1,963",213,73,178,0,132,46,778,0,751,27,"1,359",13,"1,346",0
Estimate,50,Spokane,"2,000","1,782","1,549",183,"1,514",94,"1,098",15,33,0,218,"1,629",0,"1,629","1,419",227,"1,331",33,371,280,0,176,104,910,0,674,236,810,0,779,31
Estimate,101.01,Spokane,"1,481","1,334","1,091",41,"1,260",94,"1,081",0,62,0,147,"1,306",0,"1,306","1,248",124,987,223,175,95,0,31,64,843,0,795,48,543,0,480,63
Estimate,101.02,Spokane,"1,045",980,941,88,826,21,682,0,0,0,65,929,14,915,701,88,624,176,116,14,0,14,0,433,14,303,116,598,0,598,0
