label,not_US_citizen,naturalized_citizen,naturalized_2015_or_later,naturalized_2010_to_2014,naturalized_2005_to_2009,naturalized_2000_to_2004,naturalized_1995_to_1999,naturalized_1990_to_1994,naturalized_before_1990,tract,county,standardized_not_US_citizen,standardized_naturalized_citizen,standardized_naturalized_2015_or_later,standardized_naturalized_2010_to_2014,standardized_naturalized_2005_to_2009,standardized_naturalized_2000_to_2004,standardized_naturalized_1995_to_1999,standardized_naturalized_1990_to_1994,standardized_naturalized_before_1990,index
Estimate,88,237,17,14,107,20,0,23,56,49,Spokane,-0.153438495,1.412165365,-0.016373727,-0.173984995,2.423046845,0.485054044,-0.526855293,1.668951527,1.530796637,6.649361907
Estimate,118,103,16,9,0,0,26,0,52,50,Spokane,0.011024086,-0.038633541,-0.049301111,-0.33759884,-0.543977123,-0.566039976,0.64727936,-0.441810786,1.345888528,0.026830597
Estimate,30,93,0,0,46,0,47,0,0,101.01,Spokane,-0.471399484,-0.146902116,-0.576139264,-0.63210376,0.731565891,-0.566039976,1.595618888,-0.441810786,-1.057916883,-1.56512749
Estimate,0,18,0,0,0,0,0,0,18,101.02,Spokane,-0.635862064,-0.958916429,-0.576139264,-0.63210376,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-0.225830395,-5.10753509
Estimate,13,49,0,0,32,0,0,0,17,102.01,Spokane,-0.564594946,-0.623283846,-0.576139264,-0.63210376,0.343357148,-0.566039976,-0.526855293,-0.441810786,-0.272057422,-3.859528146
Estimate,40,142,102,0,7,0,0,33,0,102.03,Spokane,-0.416578623,0.383613902,2.782453958,-0.63210376,-0.349872751,-0.566039976,-0.526855293,2.586674272,-1.057916883,2.203374843
Estimate,0,0,0,0,0,0,0,0,0,102.04,Spokane,-0.635862064,-1.153799864,-0.576139264,-0.63210376,-0.543977123,-0.566039976,-0.526855293,-0.441810786,-1.057916883,-6.134505014
Estimate,45,48,0,11,25,0,0,12,0,103.01,Spokane,-0.389168193,-0.634110704,-0.576139264,-0.272153302,0.149252776,-0.566039976,-0.526855293,0.659456508,-1.057916883,-3.213674332
Estimate,47,160,0,0,0,0,118,0,42,103.03,Spokane,-0.378204021,0.578497337,-0.576139264,-0.63210376,-0.543977123,-0.566039976,4.801909673,-0.441810786,0.883618257,3.125750336
Estimate,48,33,16,0,0,13,4,0,0,103.04,Spokane,-0.372721935,-0.796513566,-0.049301111,-0.63210376,-0.543977123,0.117171137,-0.346219193,-0.441810786,-1.057916883,-4.123393221
Estimate,75,94,0,0,15,0,10,12,57,103.05,Spokane,-0.224705613,-0.136075258,-0.576139264,-0.63210376,-0.128039184,-0.566039976,-0.075265042,0.659456508,1.577023664,-0.101887926
Estimate,318,337,56,23,39,15,68,63,73,104.01,Spokane,1.107441288,2.494851116,1.26779427,0.120519925,0.53746152,0.222280539,2.543958416,5.339842506,2.316656098,15.95080568
Estimate,38,344,53,13,66,138,0,63,11,104.03,Spokane,-0.427542795,2.570639119,1.169012116,-0.206707764,1.28614981,6.686508763,-0.526855293,5.339842506,-0.549419585,15.34162688
Estimate,21,24,0,20,0,4,0,0,0,104.04,Spokane,-0.520738258,-0.893955284,-0.576139264,0.022351618,-0.543977123,-0.355821172,-0.526855293,-0.441810786,-1.057916883,-4.894862445
Estimate,34,38,0,0,0,11,0,0,27,105.04,Spokane,-0.44947114,-0.742379279,-0.576139264,-0.63210376,-0.543977123,0.012061735,-0.526855293,-0.441810786,0.190212849,-3.71046206
Estimate,94,74,30,0,9,0,24,0,11,105.05,Spokane,-0.120545979,-0.352612408,0.411682272,-0.63210376,-0.294414359,-0.566039976,0.55696131,-0.441810786,-0.549419585,-1.988303272
