Label,Tract,County,Total population in households,Under 18 years,18 to 64 years,65 years and over,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Two or more races,Hispanic or Latino origin (of any race),"White alone, not Hispanic or Latino",Household population 25 years and over,Less than high school graduate or equivalency,"High school graduate (includes equivalency), some college or associate's degree",Bachelor's degree or higher,Civilian population 16 years and over,In labor force,Employed,Unemployed,Not in labor force
Estimate,101.02,Spokane,"2,598",593,"1,578",427,"2,410",0,0,65,0,0,123,0,"2,410","1,980",52,"1,401",527,"2,171","1,478","1,436",42,693
Estimate,102.01,Spokane,"3,681",630,"2,384",667,"3,417",0,10,0,0,0,254,25,"3,392","2,823",93,"2,075",655,"3,141","2,081","2,009",72,"1,060"
Estimate,102.03,Spokane,"4,306","1,149","2,617",540,"4,073",0,0,154,0,52,27,212,"3,913","2,907",108,"1,678","1,121","3,293","2,439","2,382",57,854
Estimate,102.04,Spokane,"3,031",920,"1,566",545,"3,004",0,0,0,0,0,27,135,"2,869","1,882",66,"1,022",794,"2,302","1,423","1,357",66,879
Estimate,103.01,Spokane,"4,372","1,225","2,535",612,"4,004",19,47,0,66,75,161,227,"3,996","2,807",170,"2,168",469,"3,251","1,924","1,781",143,"1,327"
Estimate,103.03,Spokane,"3,472",853,"1,959",660,"3,287",0,31,88,0,0,66,34,"3,262","2,445",17,"1,795",633,"2,703","1,735","1,683",52,968
Estimate,103.04,Spokane,"5,112","1,336","2,986",790,"5,031",0,0,33,0,0,48,0,"5,031","3,620",122,"3,061",437,"3,876","2,113","2,094",19,"1,763"
Estimate,103.5,Spokane,"7,262","1,969","4,310",983,"6,613",0,43,27,0,61,518,216,"6,577","4,760",171,"2,885","1,704","5,434","3,759","3,651",108,"1,675"
Estimate,104.01,Spokane,"4,405","1,383","2,704",318,"2,930",227,354,287,117,32,458,210,"2,893","2,595",176,"1,994",425,"2,928","2,013","1,796",217,915
Estimate,104.03,Spokane,"3,186",656,"1,993",537,"2,829",11,16,96,0,175,59,325,"2,694","2,384",146,"1,665",573,"2,646","1,508","1,449",59,"1,138"
Estimate,104.04,Spokane,"2,437",455,"1,425",557,"2,142",0,75,20,0,43,157,57,"2,085","1,871",49,"1,280",542,"1,982","1,220","1,198",22,762
Estimate,105.04,Spokane,"3,290",827,"1,794",669,"3,176",9,19,0,0,43,43,278,"2,941","2,286",143,"1,234",909,"2,675","1,477","1,430",47,"1,198"
Estimate,105.05,Spokane,"3,586","1,174","1,915",497,"3,304",0,143,9,0,0,130,210,"3,237","2,204",93,"1,272",839,"2,599","1,671","1,595",76,928
Estimate,105.06,Spokane,"4,991","1,001","2,866","1,124","4,406",0,6,355,0,44,180,157,"4,293","3,534",32,"1,889","1,613","4,012","2,200","2,176",24,"1,812"
Estimate,105.07,Spokane,"3,773",775,"2,028",970,"3,624",0,0,32,0,20,97,118,"3,557","2,803",75,"1,615","1,113","3,231","1,749","1,719",30,"1,482"
Estimate,105.08,Spokane,"4,053","1,296","2,219",538,"3,945",0,0,20,0,29,59,232,"3,775","2,406",75,911,"1,420","2,874","1,799","1,767",32,"1,075"
Estimate,106.1,Spokane,"3,790","1,160","1,880",750,"2,978",0,195,76,0,253,288,273,"2,895","2,542",67,"1,585",890,"2,719","1,500","1,465",35,"1,219"
Estimate,106.03,Spokane,"4,175",839,"2,320","1,016","3,668",0,20,121,27,237,102,245,"3,660","3,127",43,"2,197",887,"3,337","1,813","1,788",25,"1,524"
Estimate,106.04,Spokane,"3,287",561,"2,109",617,"3,023",15,0,83,0,8,158,72,"3,023","2,547",129,"1,199","1,219","2,900","1,853","1,762",91,"1,047"
Estimate,107.01,Spokane,"3,933","1,265","2,215",453,"3,495",0,0,118,0,204,116,239,"3,460","2,548",126,"1,153","1,269","2,815","1,935","1,857",78,880
Estimate,107.02,Spokane,"3,633","1,372","1,972",289,"3,254",150,0,131,0,19,79,188,"3,085","2,058",11,929,"1,118","2,375","1,671","1,648",23,704
Estimate,108,Spokane,"1,725",300,"1,167",258,"1,520",20,24,33,4,12,112,143,"1,406","1,056",52,759,245,"1,508",931,902,29,577
Estimate,109.01,Spokane,"2,156",518,"1,205",433,"1,831",87,0,0,0,30,208,241,"1,620","1,409",87,"1,046",276,"1,766","1,034",892,142,732
Estimate,109.02,Spokane,"2,112",452,"1,326",334,"1,799",51,0,213,12,0,37,51,"1,756","1,255",33,583,639,"1,712",961,916,45,751
Estimate,110,Spokane,"3,193",844,"1,949",400,"2,896",0,7,47,0,7,236,220,"2,704","2,136",90,"1,507",539,"2,463","1,751","1,628",123,712
