tract,GEOID,county,has_computer,broadband,mean_lowest_cost,mean_d_mbps,mean_u_mbps,mean_lat_ms,index
140.02,53063014002, Spokane County,0.2684155129113703,0.44537471980177046,0.3331765271753604,-0.2487251211247263,1.2968971878887343,-0.41720067511048003,0.9157268617578972
141.0,53063014100, Spokane County,-0.3265527800602436,-0.10948448372792084,-0.2645999477850291,-0.703609108283308,-0.44534361476682877,1.5722845783873547,-1.0120374950129518
142.0,53063014200, Spokane County,0.41431209834152644,0.028673765491727968,-1.1082598496379727,-1.6115204973012365,-0.8721425800332852,1.8457425596794381,-0.9618004361283441
143.0,53063014300, Spokane County,-0.31233598913150923,-0.35595436574434525,-1.4184739013462646,-1.8374848199179734,-0.9392476088240626,0.9686678231792297,-1.633178512689799
144.0,53063014400, Spokane County,-0.13122981397677694,0.032362382702743414,0.7259274500711173,0.2630946936635343,-0.2043732661576803,-0.7833429762852356,0.30288156673294103
145.0,53063014500, Spokane County,0.1894239744740687,-0.08168691017171244,0.01897578885874409,0.2929922198215691,-0.03386827297562517,-0.6410173776632513,0.266690972841484
9410.0,53065941000, Stevens County,-0.6228695118524549,-1.5877038514693254,-2.3715411686428927,-1.859118307334589,-0.6860659728244811,0.7300981215161841,-3.0973184642104523
9501.01,53065950101, Stevens County,-0.4108771583854196,-0.7252128356706452,1.397479469926752,-1.1033268496089603,-0.895233622853883,0.8379601609961419,-1.4595720832915706
9501.02,53065950102, Stevens County,0.38830049660798566,0.24480929977834306,0.04165006894345357,-1.1792633884312729,-0.9155583750151771,1.0495421674272656,-0.28029230644549397
9502.0,53065950200, Stevens County,-1.0858117818076323,-1.3801020952213785,-0.792439519886721,-1.0705425201704848,-0.8689573850632694,1.0507341940217294,-2.8367534534428174
9503.0,53065950300, Stevens County,-0.25726003831314503,-0.09929664998759388,-0.792439519886721,0.02613990962014041,-0.7313371798161099,0.037959387078505984,-0.4747297375709607
9505.0,53065950500, Stevens County,0.6432879347558588,0.4949671226045469,-0.6356336218983425,0.015858873634743084,-0.7622991068663657,0.1042450439577216,0.6264216949316053
9506.0,53065950600, Stevens County,-0.1363496083233083,-0.09293066817484552,-0.792439519886721,-1.0729378727190766,-0.856694410052702,1.5985403687898116,-1.1351217996035037
9507.0,53065950700, Stevens County,-0.15563164588724762,-0.10859049271484442,0.3007846984829295,-0.5294224051778069,-0.8641292187575604,0.579861929993241,-0.6008273763935394
9508.0,53065950800, Stevens County,-0.027312702992116283,-0.27397684531049765,-0.23809754249121656,-1.4583260125106965,-0.9580037570903581,1.187658504716279,-1.1983282463838811
9509.0,53065950900, Stevens County,0.41166400663211966,-0.20395604025730518,0.3007846984829295,-1.4245513352046237,-0.9818317072158133,3.500002205965049,-1.4313136904738695
9511.0,53065951100, Stevens County,0.3178115253426892,-0.47089496709012585,0.3007846984829295,-1.1236545975391172,-0.9830214983811891,2.0361882559813815,-1.2845549186099623
