label,one_or_more_computing_devices,desktop_or_laptop,desktop_or_laptop_only,smartphone,smartphone_only,tablet_or_portable_computer,tablet_or_portable_computer_only,other,other_only,no_computer,tract,county,standardized_one_or_more_computing_devices,standardized_desktop_or_laptop,standardized_desktop_or_laptop_only,standardized_smartphone,standardized_smartphone_only,standardized_tablet_or_portable_computer,standardized_tablet_or_portable_computer_only,standardized_other,standardized_other_only,standardized_no_computer,index
Estimate,2066,1781,84,1885,173,1234,24,29,0,118,31,Spokane,1.235106453,1.081408955,0.003867512,#REF!,0.784761311,0.762157595,0.515798542,0.020357257,-0.152548567,0.199359607,#REF!
Estimate,1416,1219,66,1231,149,928,30,52,0,158,32,Spokane,0.050463117,0.033205443,-0.331384706,#REF!,0.499511648,0.020489318,0.845645251,0.951701764,-0.152548567,0.706593642,#REF!
Estimate,1462,1099,155,1197,207,702,45,16,0,376,35,Spokane,0.134299415,-0.190610253,1.32625126,#REF!,1.188865,-0.527278756,1.670262023,-0.506054856,-0.152548567,3.471019137,#REF!
Estimate,1138,930,19,1119,123,555,0,9,0,80,36.01,Spokane,-0.456199725,-0.505817359,-1.206765497,#REF!,0.19049118,-0.883570379,-0.803588293,-0.789507532,-0.152548567,-0.282512727,#REF!
Estimate,1533,1283,63,1416,174,736,54,78,0,166,36.02,Spokane,0.263698918,0.152573815,-0.387260076,#REF!,0.796646714,-0.44487117,2.165032086,2.00452599,-0.152548567,0.808040449,#REF!
Estimate,854,754,26,816,49,590,6,15,0,40,38,Spokane,-0.973797736,-0.83408038,-1.076389635,#REF!,-0.689028615,-0.79873904,-0.473741584,-0.546548095,-0.152548567,-0.789746763,#REF!
Estimate,951,857,128,741,55,652,24,49,0,72,39,Spokane,-0.7970125,-0.641971907,0.823372934,#REF!,-0.617716199,-0.648466383,0.515798542,0.830222046,-0.152548567,-0.383959534,#REF!
Estimate,1312,1071,0,1277,140,967,16,38,0,14,40.01,Spokane,-0.139079817,-0.242833915,-1.560642838,#REF!,0.392543024,0.115015667,0.07600293,0.384796412,-0.152548567,-1.119448886,#REF!
Estimate,1257,1121,38,1196,90,764,13,5,0,19,40.02,Spokane,-0.239318868,-0.149577375,-0.852888156,#REF!,-0.201727107,-0.377006098,-0.088920424,-0.95148049,-0.152548567,-1.056044632,#REF!
Estimate,1030,871,58,876,86,723,47,20,0,42,41,Spokane,-0.653032772,-0.615860076,-0.480385692,#REF!,-0.249268717,-0.476379953,1.780210926,-0.344081898,-0.152548567,-0.764385061,#REF!
Estimate,1865,1764,92,1730,41,1492,0,68,0,71,42,Spokane,0.868778283,1.049701731,0.152868498,#REF!,-0.784111836,1.38748575,-0.803588293,1.599593596,-0.152548567,-0.396640385,#REF!
Estimate,1423,1354,150,1234,22,1061,23,46,0,93,43,Spokane,0.063220815,0.284998102,1.233125644,#REF!,-1.009934485,0.342848406,0.46082409,0.708742328,-0.152548567,-0.117661666,#REF!
Estimate,2038,1803,87,1849,44,1605,14,19,0,91,44,Spokane,1.184075663,1.122441832,0.059742882,#REF!,-0.748455628,1.661369787,-0.033945973,-0.384575138,-0.152548567,-0.143023367,#REF!
Estimate,1486,1333,94,1372,55,1129,0,36,0,16,45,Spokane,0.178040092,0.245830355,0.190118744,#REF!,-0.617716199,0.507663578,-0.803588293,0.303809933,-0.152548567,-1.094087184,#REF!
Estimate,1744,1411,130,1466,174,1169,91,37,0,380,46.01,Spokane,0.64825237,0.391310558,0.86062318,#REF!,0.796646714,0.60461368,4.19908679,0.344303173,-0.152548567,3.52174254,#REF!
Estimate,1156,1061,72,1074,56,877,10,6,0,74,46.02,Spokane,-0.423394217,-0.261485223,-0.219633967,#REF!,-0.605830796,-0.103122062,-0.253843779,-0.91098725,-0.152548567,-0.358597833,#REF!
Estimate,1077,890,29,1011,31,954,0,0,0,59,47.01,Spokane,-0.567373946,-0.580422591,-1.020514265,#REF!,-0.902965862,0.083506884,-0.803588293,-1.153946687,-0.152548567,-0.548810596,#REF!
Estimate,1566,1451,72,1423,14,1184,14,57,0,131,47.02,Spokane,0.323842348,0.46591579,-0.219633967,#REF!,-1.105017706,0.640969968,-0.033945973,1.154167962,-0.152548567,0.364210668,#REF!
Estimate,1981,1641,48,1894,304,1272,8,27,0,76,48,Spokane,1.080191555,0.820290642,-0.666636924,#REF!,2.341749055,0.854260191,-0.363792682,-0.060629222,-0.152548567,-0.333236131,#REF!
Estimate,2255,2148,142,2076,12,1592,12,0,0,60,49,Spokane,1.579564284,1.765911959,1.084124659,#REF!,-1.128788512,1.629861004,-0.143894876,-1.153946687,-0.152548567,-0.536129745,#REF!
Estimate,1782,1549,183,1514,94,1098,15,33,0,218,50,Spokane,0.717508442,0.648698608,1.847754711,#REF!,-0.154185496,0.43252725,0.021028479,0.182330215,-0.152548567,1.467444696,#REF!
Estimate,1334,1091,41,1260,94,1081,0,62,0,147,101.01,Spokane,-0.098984196,-0.205531299,-0.797012786,#REF!,-0.154185496,0.391323456,-0.803588293,1.356634159,-0.152548567,0.567104283,#REF!
Estimate,980,941,88,826,21,682,0,0,0,65,101.02,Spokane,-0.744159182,-0.48530092,0.078368005,#REF!,-1.021819888,-0.575753807,-0.803588293,-1.153946687,-0.152548567,-0.472725491,#REF!
Estimate,1723,1538,93,1574,114,922,0,65,0,135,102.01,Spokane,0.609979277,0.62818217,0.171493621,#REF!,0.083522556,0.005946803,-0.803588293,1.478113877,-0.152548567,0.414934072,#REF!
Estimate,1449,1396,22,1427,36,1182,0,32,0,0,102.03,Spokane,0.110606548,0.363333596,-1.150890128,#REF!,-0.843538849,0.636122463,-0.803588293,0.141836975,-0.152548567,-1.296980799,#REF!
