Label,Tract,County,"Full-time, year-round civilian employed population 16 years and over","Management, business, science, and arts occupations:","Management, business, and financial occupations:",Management occupations,Business and financial operations occupations,"Computer, engineering, and science occupations:",Computer and mathematical occupations,Architecture and engineering occupations,"Life, physical, and social science occupations","Education, legal, community service, arts, and media occupations:",Community and social service occupations,Legal occupations,"Educational instruction, and library occupations","Arts, design, entertainment, sports, and media occupations",Healthcare practitioners and technical occupations:,Health diagnosing and treating practitioners and other technical occupations,Health technologists and technicians,Service occupations:,Healthcare support occupations,Protective service occupations:,"Firefighting and prevention, and other protective service workers including supervisors",Law enforcement workers including supervisors,Food preparation and serving related occupations,Building and grounds cleaning and maintenance occupations,Personal care and service occupations,Sales and office occupations:,Sales and related occupations,Office and administrative support occupations,"Natural resources, construction, and maintenance occupations:","Farming, fishing, and forestry occupations",Construction and extraction occupations,"Installation, maintenance, and repair occupations","Production, transportation, and material moving occupations:",Production occupations,Transportation occupations,Material moving occupations
Estimate,9604,Asotin,490,131,39,39,0,17,0,17,0,48,30,0,18,0,27,14,13,102,35,4,4,0,14,44,5,158,121,37,18,4,0,14,81,50,16,15
Estimate,9605,Asotin,866,268,80,50,30,55,22,19,14,53,27,0,13,13,80,80,0,113,44,0,0,0,44,25,0,170,73,97,174,0,142,32,141,106,10,25
Estimate,9606,Asotin,"1,135",355,153,130,23,39,5,10,24,72,11,0,46,15,91,48,43,124,11,0,0,0,0,15,98,304,169,135,149,0,119,30,203,113,8,82
Estimate,9400,Ferry,424,174,46,38,8,59,3,0,56,59,30,4,12,13,10,0,10,119,47,35,13,22,4,28,5,60,15,45,50,9,33,8,21,2,15,4
Estimate,9701,Ferry,641,339,109,98,11,4,4,0,0,223,33,36,133,21,3,3,0,117,27,51,4,47,0,22,17,26,0,26,23,0,23,0,136,0,0,136
Estimate,9702,Ferry,721,235,130,110,20,10,0,0,10,60,31,13,4,12,35,35,0,222,129,20,11,9,40,33,0,136,34,102,86,0,62,24,42,32,10,0
Estimate,9703,Garfield,686,261,156,134,22,67,4,17,46,20,4,0,16,0,18,18,0,132,13,28,4,24,9,74,8,121,52,69,118,64,22,32,54,19,18,17
Estimate,9601,Lincoln,515,247,115,93,22,4,0,4,0,84,22,22,40,0,44,19,25,67,31,0,0,0,0,25,11,116,21,95,41,0,22,19,44,29,11,4
Estimate,9602,Lincoln,813,358,181,162,19,65,34,1,30,79,0,29,50,0,33,21,12,136,30,66,33,33,9,23,8,126,48,78,124,5,56,63,69,14,34,21
Estimate,9603,Lincoln,786,387,196,176,20,71,33,22,16,86,8,11,49,18,34,27,7,73,17,16,10,6,0,40,0,108,42,66,146,29,55,62,72,23,35,14
Estimate,9604,Lincoln,879,420,294,255,39,19,3,11,5,85,26,18,41,0,22,12,10,133,69,22,6,16,25,16,1,132,67,65,110,48,38,24,84,34,32,18
Estimate,9701,Pend Oreille,349,181,95,81,14,45,3,37,5,41,0,5,27,9,0,0,0,25,15,0,0,0,6,4,0,37,19,18,64,4,46,14,42,28,8,6
Estimate,9702,Pend Oreille,489,146,52,28,24,18,18,0,0,35,17,0,12,6,41,41,0,75,10,1,1,0,22,22,20,85,65,20,115,27,54,34,68,30,20,18
Estimate,9703,Pend Oreille,841,236,127,67,60,24,4,12,8,79,37,0,37,5,6,0,6,196,48,15,8,7,79,12,42,126,35,91,142,89,31,22,141,13,60,68
Estimate,9704,Pend Oreille,563,181,114,74,40,24,9,8,7,8,8,0,0,0,35,35,0,61,17,25,25,0,0,5,14,93,32,61,87,0,61,26,141,141,0,0
Estimate,9705,Pend Oreille,789,377,182,78,104,76,19,51,6,83,25,0,50,8,36,36,0,61,6,13,0,13,29,13,0,227,120,107,75,0,7,68,49,23,0,26
Estimate,2.01,Spokane,892,220,107,75,32,10,10,0,0,26,26,0,0,0,77,63,14,193,49,28,28,0,47,41,28,210,122,88,113,0,35,78,156,73,30,53
Estimate,2.02,Spokane,382,86,44,34,10,0,0,0,0,10,0,0,0,10,32,32,0,120,34,46,46,0,40,0,0,76,49,27,41,0,29,12,59,49,10,0
Estimate,3.01,Spokane,848,232,49,49,0,0,0,0,0,105,22,0,64,19,78,0,78,183,98,22,22,0,0,41,22,69,21,48,83,0,83,0,281,115,24,142
Estimate,3.02,Spokane,830,194,60,11,49,17,0,17,0,82,0,0,68,14,35,24,11,238,67,0,0,0,98,11,62,173,133,40,85,0,64,21,140,99,0,41
Estimate,4,Spokane,"1,298",342,231,54,177,24,16,8,0,39,13,0,8,18,48,19,29,282,25,0,0,0,140,99,18,422,166,256,73,0,65,8,179,91,51,37
Estimate,5,Spokane,"1,343",343,172,132,40,12,7,0,5,115,43,19,38,15,44,21,23,328,55,78,49,29,78,72,45,356,184,172,121,38,63,20,195,122,34,39
Estimate,6,Spokane,"1,317",486,229,113,116,130,90,25,15,95,23,21,12,39,32,23,9,87,51,16,0,16,5,15,0,262,92,170,164,0,99,65,318,145,78,95
Estimate,7,Spokane,"1,981",689,256,214,42,161,123,20,18,144,44,20,76,4,128,128,0,362,183,71,61,10,87,0,21,444,159,285,170,0,99,71,316,10,175,131
Estimate,8,Spokane,"1,711",745,195,168,27,127,26,33,68,237,66,19,117,35,186,106,80,239,70,46,15,31,19,62,42,393,172,221,74,0,40,34,260,188,27,45
