Label,Less_than_$100,$100_to_$199,$200_to_$299,$300_to_$399,$400_to_$499,$500_to_$599,$600_to_$699,$700_to_$799,$800_to_$899,$900_to_$999,"$1,000_to_$1,499","$1,500_to_$1,999","$2,000_to_$2,499","$2,500_to_$2,999","$3,000_or_more",No_cash_rent,tract,county,Standardize_Less_than_$100,Standardize_$100_to_$199,Standardize_$200_to_$299,Standardize_$300_to_$399,Standardize_$400_to_$499,Standardize_$500_to_$599,Standardize_$600_to_$699,Standardize_$700_to_$799,Standardize_$800_to_$899,Standardize_$900_to_$999,"Standardize_$1,000_to_$1,499","Standardize_$1,500_to_$1,999","Standardize_$2,000_to_$2,499","Standardize_$2,500_to_$2,999","Standardize_$3,000_or_more",Standardize_No_cash_rent,index
Estimate,9,7,90,82,59,128,93,110,44,67,164,214,22,0,60,22,9505,Stevens,0.314554468,-0.482372689,0.717177604,0.038032284,-0.561058255,0.42214728,-0.14876939,0.128029208,-0.620787764,-0.348826371,-0.947007032,0.120610535,-0.638566577,-0.634537169,0.674831705,0.017038688,-1.949503475
Estimate,6,19,74,108,61,94,121,37,28,28,200,103,66,12,14,32,9506,Stevens,0.050904998,-0.046809192,0.415381682,0.474074715,-0.521922116,-0.107089145,0.208109989,-0.883409106,-0.790917545,-0.745950921,-0.789012646,-0.604015847,-0.136639783,-0.392535845,-0.333642162,0.421984121,-3.781488803
Estimate,0,5,82,163,150,75,53,82,96,48,212,34,11,6,0,5,9507,Stevens,-0.476393942,-0.554966605,0.566279643,1.396472163,1.219636069,-0.402838912,-0.658597074,-0.259919734,-0.067865978,-0.542297306,-0.73634785,-1.054459273,-0.764048276,-0.513536507,-0.640568991,-0.671368548,-4.160821121
Estimate,0,27,99,115,144,89,114,40,64,68,263,255,50,20,8,23,9508,Stevens,-0.476393942,0.243566473,0.886937811,0.591470754,1.102227652,-0.184918031,0.118890144,-0.841843148,-0.408125539,-0.33864369,-0.51252247,0.388265325,-0.319158617,-0.231201629,-0.465182232,0.057533231,-0.389097908
Estimate,9,47,107,91,66,55,52,42,11,12,103,34,37,8,11,20,9509,Stevens,0.314554468,0.969505635,1.037835772,0.188970049,-0.424081769,-0.714154456,-0.671342766,-0.814132509,-0.971680437,-0.908873814,-1.214719742,-1.054459273,-0.46745517,-0.473202953,-0.399412197,-0.063950399,-5.666599561
Estimate,17,67,164,182,105,99,88,67,85,61,371,117,29,11,17,27,9511,Stevens,1.017619721,1.695444797,2.112983744,1.715118555,0.339072942,-0.029260259,-0.21249785,-0.467749525,-0.184830202,-0.409922455,-0.038539311,-0.512621528,-0.558714587,-0.412702622,-0.267872127,0.219511404,4.005040696
Estimate,3,29,27,31,29,77,95,37,28,19,239,126,122,34,64,0,9513.01,Stevens,-0.212744472,0.316160389,-0.471143839,-0.817281714,-1.14810034,-0.371707357,-0.123278006,-0.883409106,-0.790917545,-0.837595049,-0.617852061,-0.453868038,0.502176137,0.051133249,0.762525085,-0.873841265,-5.96974393
Estimate,0,31,41,58,28,33,35,34,49,25,109,73,53,14,12,24,9513.02,Stevens,-0.476393942,0.388754305,-0.207072407,-0.364468421,-1.16766841,-1.056601554,-0.888019532,-0.924975064,-0.567622208,-0.776498964,-1.188387345,-0.799860815,-0.284936336,-0.352202291,-0.377488852,0.098027774,-8.94541406
Estimate,0,0,43,241,58,154,74,69,99,52,280,100,160,34,0,40,9514.01,Stevens,-0.476393942,-0.736451396,-0.169347917,2.704599454,-0.580626325,0.826857488,-0.39093754,-0.440038886,-0.035966644,-0.501566583,-0.437914009,-0.623600344,0.935658368,0.051133249,-0.640568991,0.745940467,0.230776449
Estimate,0,0,32,74,122,126,39,57,0,15,467,260,237,111,0,0,9514.02,Stevens,-0.476393942,-0.736451396,-0.376832613,-0.096134617,0.671730123,0.391015726,-0.837036763,-0.606302718,-1.088644661,-0.878325772,0.382779053,0.420906153,1.814030258,1.603975078,-0.640568991,-0.873841265,-1.326096348
